,age_band_of_driver,vehicle_type,age_of_vehicle,weather_conditions,day_of_week,road_surface_conditions,light_conditions,sex_of_driver,season,speed_limit,accident_seriousness
3247,16-25,Motorcycle,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,60,Serious
3248,16-25,Car,4,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,60,Serious
3249,16-25,Motorcycle,4,Fine no high winds,Monday,Dry,Daylight,Male,Winter,60,Serious
3250,16-25,Motorcycle,4,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,60,Serious
3251,16-25,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,60,Serious
3252,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Summer,60,Serious
3253,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,60,Serious
3254,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,60,Serious
3255,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Female,Winter,60,Serious
3256,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Female,Winter,60,Serious
3257,16-25,Car,4,Mud,Friday,Wet or damp,Daylight,Male,Summer,60,Serious
3258,16-25,Car,4,Raining no high winds,Thursday,Wet or damp,Daylight,Male,Winter,60,Serious
3259,16-25,Car,4,Raining no high winds,Friday,Wet or damp,Daylight,Male,Winter,60,Serious
3260,16-25,Car,4,Raining no high winds,Tuesday,Wet or damp,Daylight,Female,Winter,60,Serious
3261,16-25,Car,4,Raining no high winds,Friday,Wet or damp,Daylight,Female,Winter,60,Serious
3262,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Winter,60,Serious
3263,16-25,Car,4,Fine no high winds,Sunday,Dry,Darkness - lights lit,Female,Rainy,60,Serious
3264,16-25,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Male,Rainy,60,Serious
3265,16-25,Car,4,Fine + high winds,Monday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Serious
3266,16-25,Car,4,Fine no high winds,Friday,Frost or ice,Darkness - no lighting,Male,Summer,60,Serious
3267,16-25,Car,4,Fine no high winds,Thursday,Dry,Darkness - no lighting,Male,Winter,60,Serious
3268,16-25,Car,4,Fine no high winds,Sunday,Wet or damp,Darkness - no lighting,Male,Summer,60,Serious
3269,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Darkness - no lighting,Male,Winter,60,Serious
3270,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Rainy,60,Serious
3271,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Rainy,60,Serious
3272,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Summer,60,Serious
3273,16-25,Car,4,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Winter,60,Serious
3274,16-25,Car,4,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Summer,70,Serious
3275,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Rainy,70,Serious
3276,16-25,Car,4,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Male,Winter,70,Serious
3277,16-25,Car,4,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Female,Summer,70,Serious
3278,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,70,Serious
3279,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,70,Serious
3280,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Serious
3281,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Female,Autumn,70,Serious
3282,16-25,Car,4,Raining no high winds,Thursday,Wet or damp,Daylight,Male,Rainy,70,Serious
3283,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,70,Serious
3284,16-25,Goods Vehicle,4,Fine no high winds,Saturday,Frost or ice,Daylight,Male,Autumn,70,Serious
3285,16-25,Car,4,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Rainy,70,Serious
3286,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,70,Serious
3287,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Female,Summer,70,Serious
3288,16-25,Car,4,Mud,Friday,Frost or ice,Daylight,Male,Winter,70,Serious
3289,16-25,Car,4,Raining no high winds,Saturday,Wet or damp,Daylight,Male,Winter,70,Serious
3290,26-45,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Winter,70,Serious
3291,26-45,Car,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Summer,70,Serious
3292,26-45,Car,4,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Winter,70,Serious
3293,26-45,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Female,Summer,70,Serious
3294,26-45,Car,4,Fine no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Winter,70,Serious
3295,26-45,Car,4,Fine no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Winter,70,Serious
3296,26-45,Car,4,Fine no high winds,Saturday,Dry,Darkness - no lighting,Female,Winter,70,Serious
3297,26-45,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Female,Autumn,70,Serious
3298,26-45,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,70,Serious
3299,26-45,Goods Vehicle,4,Fine no high winds,Friday,Dry,Daylight,Male,Winter,70,Serious
3300,26-45,Motorcycle,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,70,Serious
3301,26-45,Motorcycle,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Serious
3302,26-45,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,70,Serious
3303,26-45,Motorcycle,4,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,70,Serious
3304,26-45,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Serious
3305,26-45,Motorcycle,4,Fine no high winds,Friday,Dry,Daylight,Male,Summer,70,Serious
3306,26-45,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,70,Serious
3307,26-45,Motorcycle,4,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,70,Serious
3308,26-45,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,70,Serious
3309,26-45,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Winter,70,Serious
3310,26-45,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Serious
3311,26-45,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,70,Serious
3312,26-45,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,70,Serious
3313,26-45,Car,4,Fine no high winds,Monday,Wet or damp,Daylight,Female,Summer,70,Serious
3314,26-45,Car,4,Fine no high winds,Friday,Dry,Daylight,Female,Autumn,70,Serious
3315,26-45,Car,4,Fine no high winds,Tuesday,Wet or damp,Daylight,Female,Winter,70,Serious
3316,26-45,Car,4,Fine no high winds,Sunday,Wet or damp,Daylight,Female,Rainy,70,Serious
3317,46-65,Car,4,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Winter,70,Serious
3318,46-65,Car,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Female,Summer,30,Serious
3319,46-65,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Female,Summer,30,Serious
3320,46-65,Car,4,Fine no high winds,Sunday,Wet or damp,Darkness - lights lit,Female,Rainy,50,Serious
3321,46-65,Car,4,Fine no high winds,Sunday,Dry,Darkness - lights lit,Female,Autumn,30,Serious
3322,46-65,Car,4,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Female,Winter,30,Serious
3323,46-65,Car,4,Mud,Thursday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3324,46-65,Car,4,Raining + high winds,Thursday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3325,46-65,Car,4,Raining + high winds,Saturday,Wet or damp,Darkness - lights lit,Female,Autumn,30,Serious
3326,46-65,Car,4,Raining no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3327,46-65,Car,4,Raining no high winds,Sunday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3328,46-65,Bus,4,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3329,46-65,Bus,4,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3330,46-65,Car,4,Raining no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3331,46-65,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Female,Summer,30,Serious
3332,46-65,Car,4,Raining no high winds,Thursday,Wet or damp,Darkness - lights lit,Female,Winter,30,Serious
3333,46-65,Car,4,Snowing + high winds,Thursday,Snow,Darkness - lights lit,Male,Winter,70,Serious
3334,46-65,Car,4,Snowing + high winds,Sunday,Snow,Darkness - lights lit,Female,Summer,30,Serious
3335,46-65,Car,4,Snowing no high winds,Monday,Snow,Darkness - lights lit,Male,Winter,30,Serious
3336,46-65,Bus,4,Fine no high winds,Monday,Dry,Darkness - no lighting,Male,Rainy,60,Serious
3337,46-65,Car,4,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Rainy,50,Serious
3338,46-65,Motorcycle,4,Fine no high winds,Tuesday,Dry,Darkness - no lighting,Male,Rainy,30,Serious
3339,46-65,Car,4,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Winter,60,Serious
3340,46-65,Motorcycle,4,Fine no high winds,Friday,Dry,Darkness - no lighting,Male,Rainy,60,Serious
3341,46-65,Car,4,Fine no high winds,Wednesday,Dry,Darkness - no lighting,Male,Summer,60,Serious
3342,46-65,Car,4,Fine no high winds,Saturday,Dry,Darkness - no lighting,Female,Summer,60,Serious
3343,46-65,Car,4,Fine no high winds,Thursday,Wet or damp,Darkness - no lighting,Female,Rainy,70,Serious
3344,46-65,Car,4,Fog or mist,Monday,Frost or ice,Darkness - no lighting,Female,Summer,60,Serious
3345,46-65,Car,4,Mud,Friday,Frost or ice,Darkness - no lighting,Male,Rainy,60,Serious
3346,46-65,Car,4,Raining + high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Serious
3347,46-65,Car,4,Raining no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Winter,60,Serious
3348,46-65,Car,4,Raining no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Summer,70,Serious
3349,46-65,Car,4,Raining no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Serious
3350,46-65,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Serious
3351,46-65,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Serious
3352,46-65,Car,4,Raining no high winds,Wednesday,Wet or damp,Darkness - no lighting,Female,Autumn,40,Serious
3353,46-65,Car,4,Fine + high winds,Sunday,Dry,Daylight,Male,Summer,60,Serious
3354,46-65,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,30,Serious
3355,46-65,Motorcycle,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Serious
3356,46-65,Motorcycle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,40,Serious
3357,46-65,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,60,Serious
3358,46-65,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,40,Serious
3359,46-65,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Serious
3360,46-65,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,70,Serious
3361,46-65,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,70,Serious
3362,46-65,Motorcycle,4,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,30,Serious
3363,46-65,Car,4,Fine no high winds,Friday,Wet or damp,Daylight,Male,Rainy,30,Serious
3364,46-65,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,60,Serious
3365,46-65,Car,4,Fine no high winds,Tuesday,Wet or damp,Daylight,Male,Rainy,70,Serious
3366,46-65,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,40,Serious
3367,46-65,Motorcycle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Autumn,60,Serious
3368,46-65,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,40,Serious
3369,46-65,Motorcycle,4,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,30,Serious
3370,46-65,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,30,Serious
3371,46-65,Car,4,Fine no high winds,Friday,Wet or damp,Daylight,Male,Summer,60,Serious
3372,46-65,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,30,Serious
3373,46-65,Car,4,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,60,Serious
3374,46-65,Car,4,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,60,Serious
3375,46-65,Motorcycle,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Serious
3376,46-65,Bus,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Serious
3377,46-65,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,50,Serious
3378,46-65,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Autumn,30,Serious
3379,46-65,Goods Vehicle,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Serious
3380,46-65,Car,4,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,30,Serious
3381,46-65,Motorcycle,4,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,70,Serious
3382,46-65,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Serious
3383,46-65,Goods Vehicle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,60,Serious
3384,16-25,Car,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Winter,20,Serious
3385,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,20,Serious
3386,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,20,Serious
3387,16-25,Car,4,Raining no high winds,Sunday,Wet or damp,Daylight,Female,Winter,20,Serious
3388,16-25,Car,4,Raining no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Summer,20,Serious
3389,16-25,Bus,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,20,Serious
3390,26-45,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,20,Serious
3391,26-45,Car,4,Fine no high winds,Tuesday,Frost or ice,Daylight,Male,Autumn,20,Serious
3392,26-45,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Female,Rainy,20,Serious
3393,26-45,Motorcycle,4,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,20,Serious
3394,26-45,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Summer,20,Serious
3395,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3396,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Autumn,30,Serious
3397,16-25,Motorcycle,4,Fine no high winds,Thursday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3398,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3399,16-25,Car,4,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Autumn,30,Serious
3400,16-25,Car,4,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3401,16-25,Motorcycle,4,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Rainy,30,Serious
3402,16-25,Car,4,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3403,16-25,Car,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3404,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Rainy,30,Serious
3405,16-25,Car,4,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Autumn,30,Serious
3406,16-25,Car,4,Fine no high winds,Monday,Wet or damp,Darkness - lights lit,Male,Winter,30,Serious
3407,16-25,Motorcycle,4,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3408,16-25,Car,4,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Autumn,30,Serious
3409,16-25,Car,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3410,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3411,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Autumn,30,Serious
3412,16-25,Car,4,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3413,16-25,Car,4,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3414,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Rainy,30,Serious
3415,16-25,Motorcycle,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3416,16-25,Car,4,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3417,16-25,Motorcycle,4,Fine no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Autumn,30,Serious
3418,16-25,Motorcycle,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3419,16-25,Car,4,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Rainy,30,Serious
3420,16-25,Car,4,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Winter,30,Serious
3421,16-25,Motorcycle,4,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Summer,30,Serious
3422,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - lights lit,Female,Rainy,30,Serious
3423,16-25,Car,4,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Female,Summer,30,Serious
3424,16-25,Car,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Female,Summer,30,Serious
3425,16-25,Car,4,Fog or mist,Monday,Snow,Darkness - lights lit,Male,Rainy,30,Serious
3426,16-25,Car,4,Mud,Tuesday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3427,16-25,Car,4,Mud,Tuesday,Frost or ice,Darkness - lights lit,Female,Winter,30,Serious
3428,16-25,Car,4,Raining no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3429,16-25,Car,4,Raining no high winds,Sunday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3430,16-25,Car,4,Raining no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Summer,30,Serious
3431,16-25,Car,4,Raining no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3432,16-25,Car,4,Raining no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Winter,30,Serious
3433,16-25,Car,4,Raining no high winds,Sunday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Serious
3434,16-25,Car,4,Raining no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Autumn,30,Serious
3435,16-25,Car,4,Raining no high winds,Friday,Wet or damp,Darkness - lights lit,Female,Summer,30,Serious
3436,16-25,Car,4,Raining no high winds,Tuesday,Wet or damp,Darkness - lights lit,Female,Summer,30,Serious
3437,16-25,Car,4,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Female,Autumn,30,Serious
3438,16-25,Car,4,Raining no high winds,Sunday,Wet or damp,Darkness - lights unlit,Male,Rainy,30,Serious
3439,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - no lighting,Male,Autumn,30,Serious
3440,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,30,Serious
3441,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Serious
3442,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,30,Serious
3443,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Serious
3444,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,30,Serious
3445,16-25,Goods Vehicle,4,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,30,Serious
3446,16-25,Motorcycle,4,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Serious
3447,16-25,Car,4,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Summer,30,Serious
3448,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Serious
3449,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Serious
3450,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,30,Serious
3451,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,30,Serious
3452,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,30,Serious
3453,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,30,Serious
3454,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Serious
3455,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Winter,30,Serious
3456,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,30,Serious
3457,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Serious
3458,16-25,Motorcycle,4,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Rainy,30,Serious
3459,16-25,Motorcycle,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Autumn,30,Serious
3460,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Serious
3461,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,30,Serious
3462,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,30,Serious
3463,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Serious
3464,16-25,Motorcycle,4,Fine no high winds,Monday,Dry,Daylight,Male,Autumn,30,Serious
3465,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Winter,30,Serious
3466,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,30,Serious
3467,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,30,Serious
3468,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Serious
3469,16-25,Motorcycle,4,Fine no high winds,Thursday,Dry,Daylight,Male,Winter,30,Serious
3470,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Serious
3471,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Serious
3472,16-25,Motorcycle,4,Fine no high winds,Friday,Dry,Daylight,Male,Autumn,30,Serious
3473,16-25,Car,4,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Autumn,30,Serious
3474,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,30,Serious
3475,16-25,Motorcycle,4,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Serious
3476,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Serious
3477,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Serious
3478,16-25,Motorcycle,4,Fine no high winds,Monday,Dry,Daylight,Male,Autumn,30,Serious
3479,16-25,Motorcycle,4,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,30,Serious
3480,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Serious
3481,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Serious
3482,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Female,Summer,30,Serious
3483,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Female,Autumn,30,Serious
3484,16-25,Car,4,Fine no high winds,Tuesday,Dry,Daylight,Female,Winter,30,Serious
3485,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Female,Winter,30,Serious
3486,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Female,Summer,30,Serious
3487,16-25,Car,4,Fine no high winds,Monday,Wet or damp,Daylight,Female,Summer,30,Serious
3488,16-25,Motorcycle,4,Fine no high winds,Tuesday,Dry,Daylight,Female,Winter,30,Serious
3489,16-25,Car,4,Fine no high winds,Tuesday,Wet or damp,Daylight,Female,Winter,30,Serious
3490,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Female,Rainy,30,Serious
3491,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Female,Autumn,30,Serious
3492,16-25,Motorcycle,4,Fine no high winds,Thursday,Dry,Daylight,Female,Rainy,30,Serious
3493,16-25,Motorcycle,4,Mud,Friday,Wet or damp,Daylight,Female,Winter,30,Serious
3494,16-25,Car,4,Raining no high winds,Sunday,Wet or damp,Daylight,Female,Rainy,30,Serious
3495,16-25,Car,4,Raining no high winds,Tuesday,Wet or damp,Daylight,Female,Summer,30,Serious
3496,16-25,Car,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Winter,30,Serious
3497,16-25,Car,4,Fine no high winds,Thursday,Wet or damp,Darkness - no lighting,Female,Rainy,40,Serious
3498,16-25,Car,4,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,40,Serious
3499,16-25,Car,4,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,40,Serious
3500,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Serious
3501,16-25,Motorcycle,4,Fine no high winds,Thursday,Dry,Daylight,Female,Rainy,40,Serious
3502,16-25,Car,4,Fine no high winds,Thursday,Dry,Daylight,Female,Summer,40,Serious
3503,16-25,Car,4,Fine no high winds,Wednesday,Wet or damp,Daylight,Female,Winter,40,Serious
3504,16-25,Motorcycle,4,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Autumn,40,Serious
3505,16-25,Car,4,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Winter,40,Serious
3506,16-25,Car,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Rainy,40,Serious
3507,16-25,Motorcycle,4,Fine no high winds,Friday,Dry,Darkness - lights lit,Female,Rainy,40,Serious
3508,16-25,Car,4,Raining no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Summer,40,Serious
3509,16-25,Car,4,Raining no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Summer,40,Serious
3510,16-25,Car,4,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,40,Serious
3511,16-25,Car,4,Fine no high winds,Monday,Dry,Darkness - no lighting,Male,Rainy,40,Serious
3512,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Serious
3513,16-25,Motorcycle,4,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Rainy,40,Serious
3514,16-25,Car,4,Fine no high winds,Monday,Dry,Daylight,Male,Autumn,40,Serious
3515,16-25,Car,4,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Serious
3516,16-25,Car,4,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Serious
